epoch,variant,train_loss,train_acc,val_loss,val_acc,lr
1,simplecnn,1.7973506525675456,0.39435555555555557,1.2797475965499878,0.532,0.1
2,simplecnn,1.3920829048580594,0.6014,0.9818965059280396,0.6578,0.09997532801828658
3,simplecnn,1.2376488954332139,0.6814444444444444,0.9224502559661866,0.696,0.09990133642141358
4,simplecnn,1.139959223344591,0.7306888888888889,0.9238564142227172,0.6758,0.099778098230154
5,simplecnn,1.0838190164777968,0.7591555555555556,0.9437189049720764,0.6854,0.0996057350657239
6,simplecnn,1.0473066570917766,0.7758,0.8485573093414307,0.7092,0.09938441702975688
7,simplecnn,1.0236723501841227,0.7893777777777777,0.6495753047943115,0.7936,0.09911436253643444
8,simplecnn,1.0030767955356175,0.7978222222222222,0.7724468328475952,0.7494,0.09879583809693737
9,simplecnn,0.9871017738978068,0.8055777777777777,0.6108673835754395,0.8048,0.09842915805643156
10,simplecnn,0.9770000206417507,0.8096666666666666,0.7427890608787536,0.766,0.09801468428384716
11,simplecnn,0.9640254221598308,0.8148666666666666,0.8362397878646851,0.72,0.09755282581475769
12,simplecnn,0.9527690678596497,0.8204666666666667,0.680511132144928,0.7888,0.09704403844771128
13,simplecnn,0.9470273381974962,0.8228,0.6252135853767395,0.7982,0.09648882429441258
14,simplecnn,0.9339056643909878,0.8323555555555555,0.558764395904541,0.817,0.09588773128419906
15,simplecnn,0.9317483420477973,0.8293333333333334,0.6857612913131714,0.782,0.09524135262330098
16,simplecnn,0.9246253803253174,0.8341555555555555,0.5596969096183777,0.8178,0.0945503262094184
17,simplecnn,0.9206551624510023,0.8366888888888889,0.6797376064300538,0.7694,0.09381533400219319
18,simplecnn,0.915941503991021,0.8388222222222222,0.5959849323272705,0.8072,0.0930371013501972
19,simplecnn,0.907995719634162,0.8413333333333334,0.48664887237548826,0.857,0.09221639627510078
20,simplecnn,0.9062851077397664,0.8439777777777778,0.5870220127105713,0.8152,0.09135402871372812
21,simplecnn,0.9017051166534423,0.8464444444444444,0.6487525100708008,0.7954,0.09045084971874741
22,simplecnn,0.8977111250559489,0.8482,0.5645739226341248,0.8172,0.08950775061878455
23,simplecnn,0.8948003787252639,0.8495777777777778,0.5344322708129883,0.8324,0.0885256621387895
24,simplecnn,0.8928766135109796,0.8514,0.7921631890296936,0.736,0.08750555348152302
25,simplecnn,0.8891406188752916,0.8519333333333333,0.575496327495575,0.812,0.08644843137107061
26,simplecnn,0.8853074259863959,0.8524666666666667,0.5545300263404846,0.8242,0.0853553390593274
27,simplecnn,0.8785007377200656,0.8576222222222222,0.5361993804454803,0.8342,0.08422735529643446
28,simplecnn,0.8793889178593953,0.8570666666666666,0.5310135884284973,0.8336,0.08306559326618262
29,simplecnn,0.8740406814893087,0.8587555555555556,0.5890422116279602,0.8084,0.08187119948743452
30,simplecnn,0.8689805859035916,0.8606,0.5281250778198242,0.8366,0.08064535268264886
31,simplecnn,0.8644449984868368,0.8628,0.7926791515350342,0.7442,0.0793892626146237
32,simplecnn,0.865479519950019,0.8638666666666667,0.6449540398597717,0.7976,0.07810416889260657
33,simplecnn,0.8625866027832031,0.8660888888888889,0.4770817872047424,0.8632,0.07679133974894986
34,simplecnn,0.8569550377104017,0.8667111111111111,0.49317446012496946,0.8546,0.0754520707875186
35,simplecnn,0.8520421783235338,0.8682444444444445,0.526901839351654,0.8478,0.0740876837050858
36,simplecnn,0.8503256606949701,0.8698,0.43424090943336485,0.8702,0.07269952498697738
37,simplecnn,0.8443134325239393,0.8732666666666666,0.5220119298458099,0.8404,0.07128896457825366
38,simplecnn,0.8454232752058242,0.8706666666666667,0.44878649196624754,0.8646,0.06985739453173906
39,simplecnn,0.8375218979305691,0.8766444444444444,0.6453245897293091,0.7932,0.06840622763423394
40,simplecnn,0.8386418320549859,0.8755777777777778,0.5414197334527969,0.8258,0.06693689601226462
41,simplecnn,0.833094730228848,0.8769111111111111,0.5193927447319031,0.8394,0.06545084971874741
42,simplecnn,0.8314112931781344,0.8788,0.4594636375427246,0.8602,0.06394955530196152
43,simplecnn,0.8276772689819336,0.8789333333333333,0.43213540420532226,0.8776,0.062434494358242776
44,simplecnn,0.821634358575609,0.8843555555555556,0.6011963907003403,0.809,0.06090716206982718
45,simplecnn,0.8180264499982198,0.8846222222222222,0.5050138547897339,0.853,0.05936906572928628
46,simplecnn,0.8116315315670437,0.8883111111111112,0.4542336314201355,0.8666,0.05782172325201159
47,simplecnn,0.814421897231208,0.8861333333333333,0.4526161353588104,0.8714,0.056266661678215264
48,simplecnn,0.8065234291076661,0.8909555555555555,0.46716849541664124,0.8562,0.05470541566592575
49,simplecnn,0.8065975499894884,0.8887777777777778,0.45036692757606506,0.8614,0.053139525976465714
50,simplecnn,0.8009748264736599,0.8913111111111112,0.4090381907463074,0.8742,0.05157053795390645
51,simplecnn,0.7973671888775296,0.8933555555555556,0.43754459018707276,0.8778,0.05000000000000004
52,simplecnn,0.7906427908049689,0.8966,0.6244235399246216,0.817,0.04842946204609362
53,simplecnn,0.7901577491124471,0.8983777777777778,0.4476636057853699,0.8708,0.04686047402353437
54,simplecnn,0.7837433744536506,0.9007333333333334,0.47152712426185606,0.8608,0.045294584334074316
55,simplecnn,0.7797268727196588,0.9018,0.38096160135269164,0.8848,0.043733338321784825
56,simplecnn,0.7731535602039761,0.9054,0.4556052589416504,0.865,0.042178276747988484
57,simplecnn,0.7709071754455566,0.9051555555555556,0.45509717173576353,0.867,0.0406309342707138
58,simplecnn,0.7664857677883572,0.9087111111111111,0.3957792336940765,0.8854,0.039092837930172916
59,simplecnn,0.7630748151991102,0.9106666666666666,0.39212644624710086,0.8906,0.037565505641757285
60,simplecnn,0.7571903076383802,0.9134666666666666,0.5197248642683029,0.8398,0.03605044469803857
61,simplecnn,0.7519492199791802,0.9153777777777777,0.4109989718437195,0.879,0.034549150281252675
62,simplecnn,0.748255180337694,0.9168666666666667,0.4289105007648468,0.8714,0.03306310398773546
63,simplecnn,0.7420942120975919,0.9185333333333333,0.3780619350075722,0.8958,0.031593772365766146
64,simplecnn,0.7406529781659444,0.9198666666666667,0.4068631796360016,0.876,0.030142605468260992
65,simplecnn,0.7365796541425916,0.9218666666666666,0.38322697751522067,0.8898,0.028711035421746394
66,simplecnn,0.7279238441255358,0.9266888888888889,0.43661176506280897,0.8706,0.027300475013022688
67,simplecnn,0.7257319201681349,0.9275111111111111,0.3479394937515259,0.9004,0.025912316294914254
68,simplecnn,0.722098016166687,0.9284666666666667,0.37527661504745485,0.9004,0.02454792921248146
69,simplecnn,0.713495621755388,0.9333555555555556,0.4031996633529663,0.8848,0.02320866025105018
70,simplecnn,0.7103952453401353,0.9340888888888889,0.3450884596824646,0.9022,0.021895831107393487
71,simplecnn,0.7008287801530626,0.9387333333333333,0.36273993434906004,0.9014,0.02061073738537637
72,simplecnn,0.6991828871621026,0.9397777777777778,0.3188071702957153,0.91,0.01935464731735119
73,simplecnn,0.6941008513768514,0.9407333333333333,0.3683935593366623,0.8978,0.018128800512565532
74,simplecnn,0.6875274204995897,0.9451777777777778,0.36991699438095094,0.9036,0.016934406733817433
75,simplecnn,0.6847750280592176,0.9461333333333334,0.3247384527206421,0.914,0.01577264470356558
76,simplecnn,0.6748636720763312,0.9506888888888889,0.34208610005378726,0.915,0.014644660940672643
77,simplecnn,0.6717610981623332,0.9514444444444444,0.31586951785087586,0.9152,0.013551568628929448
78,simplecnn,0.6664292659335667,0.9535111111111111,0.36795452280044555,0.9022,0.012494446518477033
79,simplecnn,0.6588276937166849,0.9593555555555555,0.32693833875656125,0.9162,0.011474337861210555
80,simplecnn,0.6547680515713162,0.9591333333333333,0.30922587995529177,0.9212,0.01049224938121549
81,simplecnn,0.648783896668752,0.9625555555555556,0.3382202291727066,0.9126,0.009549150281252642
82,simplecnn,0.6418030659569635,0.9656222222222223,0.3061005096435547,0.9186,0.008645971286271922
83,simplecnn,0.6401113129403856,0.9650444444444445,0.30499480295181275,0.9258,0.007783603724899264
84,simplecnn,0.6345103965123494,0.9679777777777778,0.28585768387317656,0.929,0.006962898649802819
85,simplecnn,0.6335810662375556,0.9688,0.30187669467926026,0.9292,0.0061846659978068265
86,simplecnn,0.628205177116394,0.9706888888888889,0.29277279744148255,0.9312,0.005449673790581615
87,simplecnn,0.6232716963238186,0.9725111111111111,0.2877999239206314,0.9318,0.004758647376699036
88,simplecnn,0.6191397909376356,0.9739777777777778,0.29389162068367003,0.9294,0.004112268715800957
89,simplecnn,0.6159069958686829,0.9747777777777777,0.2759340336322784,0.9336,0.003511175705587435
90,simplecnn,0.6125618390825059,0.9766666666666667,0.27706989555358885,0.9344,0.0029559615522887295
91,simplecnn,0.6126157477590772,0.9758444444444444,0.2805840000629425,0.9334,0.0024471741852423253
92,simplecnn,0.6096200755861071,0.9773777777777778,0.2744855419397354,0.9348,0.0019853157161528537
93,simplecnn,0.6060590504116482,0.9784,0.2712122269153595,0.9358,0.0015708419435684529
94,simplecnn,0.6052836000760397,0.9786666666666667,0.27249391622543334,0.9346,0.0012041619030626347
95,simplecnn,0.6034174360699124,0.9791555555555556,0.26936821789741516,0.9372,0.0008856374635655646
96,simplecnn,0.6039167252646552,0.9792222222222222,0.27154207348823545,0.9396,0.0006155829702431174
97,simplecnn,0.603771228896247,0.9791777777777778,0.2706459080457687,0.9386,0.00039426493427611206
98,simplecnn,0.5995716122521294,0.9807555555555556,0.2684731524467468,0.9388,0.00022190176984600036
99,simplecnn,0.6004455146365696,0.9800444444444445,0.2733635446310043,0.9388,9.866357858642213e-05
100,simplecnn,0.5996833802541097,0.9805777777777778,0.27116740865707395,0.9384,2.4671981713420017e-05
