epoch,variant,train_loss,train_acc,val_loss,val_acc,lr
1,resnet18,2.1864749679777358,0.2571777777777778,1.6648085117340088,0.3916,0.1
2,resnet18,1.753044120640225,0.40755555555555556,1.4509577835083007,0.4626,0.09997532801828658
3,resnet18,1.587836465220981,0.49377777777777776,1.290296697616577,0.5382,0.09990133642141358
4,resnet18,1.4149191694259644,0.5834888888888888,1.1871960216522217,0.5866,0.099778098230154
5,resnet18,1.28416418478224,0.6472888888888889,0.9536954666137696,0.6702,0.0996057350657239
6,resnet18,1.191057942729526,0.6913111111111111,0.8720324773788453,0.7082,0.09938441702975688
7,resnet18,1.108557726711697,0.7304,0.8583513303756714,0.7082,0.09911436253643444
8,resnet18,1.0469950418790182,0.7598,0.8810281887054443,0.7004,0.09879583809693737
9,resnet18,1.0056980225245158,0.7784888888888889,0.6898582175254822,0.775,0.09842915805643156
10,resnet18,0.974882190767924,0.7927555555555555,0.7795788885116577,0.7474,0.09801468428384716
11,resnet18,0.9549378363927206,0.8031111111111111,0.6615745779037475,0.7862,0.09755282581475769
12,resnet18,0.9362592492633396,0.8088888888888889,0.6023251140594482,0.8196,0.09704403844771128
13,resnet18,0.921220814175076,0.8171333333333334,0.6163688570022583,0.8054,0.09648882429441258
14,resnet18,0.9058978564898174,0.8218666666666666,0.7495954895019531,0.751,0.09588773128419906
15,resnet18,0.8980846478144328,0.8257555555555556,0.6963867609024048,0.775,0.09524135262330098
16,resnet18,0.888907296456231,0.8332888888888889,0.549522294664383,0.8322,0.0945503262094184
17,resnet18,0.8781937940597534,0.8355333333333334,0.6402936883926391,0.793,0.09381533400219319
18,resnet18,0.8713369086795383,0.8385777777777778,0.5558667558670044,0.8294,0.0930371013501972
19,resnet18,0.8619062806659274,0.8436888888888889,0.659793408203125,0.7984,0.09221639627510078
20,resnet18,0.8531628967073228,0.8472,0.5535234246253967,0.8308,0.09135402871372812
21,resnet18,0.8471273986710443,0.8496444444444444,0.49636885929107666,0.8506,0.09045084971874741
22,resnet18,0.8395886095470853,0.8513333333333334,0.5487584089279175,0.8278,0.08950775061878455
23,resnet18,0.8334696436776056,0.8557111111111111,0.5689393571853638,0.8254,0.0885256621387895
24,resnet18,0.8283248630629646,0.8569777777777777,0.474472393321991,0.8576,0.08750555348152302
25,resnet18,0.8240887036217583,0.8598222222222223,0.5372432168960571,0.8324,0.08644843137107061
26,resnet18,0.8158092425876193,0.8620888888888889,0.5680456739425659,0.8302,0.0853553390593274
27,resnet18,0.8110233644909329,0.8656222222222222,0.4536901640892029,0.8714,0.08422735529643446
28,resnet18,0.8062046095106337,0.8668666666666667,0.5590963856697082,0.8294,0.08306559326618262
29,resnet18,0.7995875930362277,0.8713333333333333,0.5100316860675812,0.8382,0.08187119948743452
30,resnet18,0.7997371946122911,0.8698666666666667,0.5635772755622864,0.8318,0.08064535268264886
31,resnet18,0.788391862127516,0.8752444444444445,0.49224666891098023,0.8494,0.0793892626146237
32,resnet18,0.7903700320773654,0.8751333333333333,0.4485683892250061,0.8656,0.07810416889260657
33,resnet18,0.785378026983473,0.8766222222222222,0.48303015041351316,0.8604,0.07679133974894986
34,resnet18,0.7826743232833014,0.8778222222222222,0.5272130602836609,0.842,0.0754520707875186
35,resnet18,0.7787438627031115,0.8810666666666667,0.43142789549827576,0.8832,0.0740876837050858
36,resnet18,0.7737134010632832,0.8818444444444444,0.4895280875682831,0.8502,0.07269952498697738
37,resnet18,0.7687109304216173,0.8846222222222222,0.4351050999164581,0.873,0.07128896457825366
38,resnet18,0.7682925111876594,0.8835111111111111,0.4396378665924072,0.8728,0.06985739453173906
39,resnet18,0.7607065805859036,0.8858444444444444,0.46732996950149536,0.8608,0.06840622763423394
40,resnet18,0.7558251260121663,0.8902888888888889,0.4612326955795288,0.863,0.06693689601226462
41,resnet18,0.7520518744786581,0.8914222222222222,0.4435040130615234,0.8742,0.06545084971874741
42,resnet18,0.7504556430604723,0.8923555555555556,0.480145424747467,0.8622,0.06394955530196152
43,resnet18,0.7472378591643439,0.8929555555555555,0.4110603971719742,0.8836,0.062434494358242776
44,resnet18,0.7420130948172675,0.8967111111111111,0.5765285735607147,0.8214,0.06090716206982718
